symbol	globalScore	clinicalPrecedence	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalStage	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
ATXN10	0.24823411117066937	No data	0.40832626368972785	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.13684000000000013	No data	-0.412134583563155	-0.6667694596549911	-1	No data	No data	No data	-1	-1
ZFP36L1	0.2475954849633599	No data	0.40636387587515516	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	0	0	0	0	0	0.9260350000000003	No data	-0.6486486486486487	-0.9089219128763909	0	No data	No data	0	-1	-1
ZMIZ1	0.24686751349184294	No data	0.40483290049128523	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.024908275735476142	No data	No data	No data	0	0	0	0	0	0.9015949999999997	No data	-0.9446221731936018	-0.9055760362408211	0	No data	No data	0	-1	-1
SORCS2	0.24640230426342816	No data	0.40303618880248093	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04553783239230821	No data	No data	0	0	0	0	0	0.3011200000000002	No data	0.014671814671814776	-0.2690870929787825	0	No data	No data	0	0.5	0
ATP8A2	0.24573882479739453	No data	0.4027018800864958	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	1	0	0	0	0	0.5707050000000002	No data	-0.39900717043574185	-0.9213150724473481	0	No data	No data	-0.15404000000000018	0.75	0.5
PPFIA2	0.24501811172504012	No data	0.40303618880248093	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.9403350000000004	No data	-0.8358521787093216	-0.6949309914424728	0	No data	No data	-0.17860000000000015	0.75	0
NTMT2	0.24405473163951666	No data	0.4014515017142329	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	1	0	0.68198	No data	0.3832322118036404	No data	0	No data	No data	0	0.5	1
HOOK1	0.24276624707733707	No data	0.3972702874569684	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	0.0358312705100656	No data	No data	0	0	0	0	0	0.6291200000000003	No data	0.0023166023166023564	0	0	No data	No data	0	0.5	0
CHLSN	0.24102129484586135	No data	0.3964617285269346	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.5346938775510204	0	No data	No data	No data	No data	-1	-1
TBX15	0.237878482049945	No data	0.38878882532743725	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.050064295874776565	No data	No data	0	0	0	0	0	0.9335549999999998	No data	-0.7192498621070049	-0.7595997272632479	0	No data	No data	0	0.5	0
CARMIL1	0.2376759423266305	No data	0.3909588776557931	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.47483500000000023	No data	-0.5601765030336459	No data	0	No data	No data	0	-1	0
PKIB	0.2374552447807493	No data	0.38469475744584425	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11802179010447124	No data	No data	No data	No data	0	0	0	0	No data	0.05824600110314404	No data	0	No data	No data	0	0.5	0
CCDC170	0.23691332023522138	No data	0.389704422223686	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.32906784335355765	No data	0	No data	No data	No data	0.5	0
